nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001eb000010	NA	darkgrey
Zm00001eb000020	NA	blue
Zm00001eb000050	NA	yellow
Zm00001eb000060	NA	brown
Zm00001eb000070	NA	purple
Zm00001eb000080	NA	brown
Zm00001eb000100	NA	turquoise
Zm00001eb000110	NA	purple
Zm00001eb000120	NA	turquoise
Zm00001eb000140	NA	purple
Zm00001eb000150	NA	red
Zm00001eb000170	NA	brown
Zm00001eb000180	NA	white
Zm00001eb000200	NA	skyblue3
Zm00001eb000190	NA	darkturquoise
Zm00001eb000210	NA	brown
Zm00001eb000220	NA	red
Zm00001eb000230	NA	red
Zm00001eb000240	NA	darkgrey
Zm00001eb000270	NA	brown
Zm00001eb000290	NA	turquoise
Zm00001eb000300	NA	brown
Zm00001eb000310	NA	cyan
Zm00001eb000320	NA	red
Zm00001eb000330	NA	darkslateblue
Zm00001eb000340	NA	magenta
Zm00001eb000360	NA	black
Zm00001eb000370	NA	lightgreen
Zm00001eb000380	NA	red
Zm00001eb000390	NA	lightgreen
Zm00001eb000400	NA	lightgreen
Zm00001eb000410	NA	lightsteelblue
Zm00001eb000420	NA	blue
Zm00001eb000430	NA	cyan
Zm00001eb000440	NA	cyan
Zm00001eb000450	NA	greenyellow
Zm00001eb000460	NA	yellow
Zm00001eb000470	NA	yellow
Zm00001eb000490	NA	blue
Zm00001eb000500	NA	pink
Zm00001eb000510	NA	green
Zm00001eb000520	NA	brown
Zm00001eb000540	NA	blue
Zm00001eb000550	NA	sienna3
Zm00001eb000560	NA	purple
Zm00001eb000570	NA	turquoise
Zm00001eb000580	NA	plum1
Zm00001eb000590	NA	brown
Zm00001eb000600	NA	skyblue
Zm00001eb000620	NA	green
Zm00001eb000630	NA	black
Zm00001eb000640	NA	tan
Zm00001eb000650	NA	magenta
Zm00001eb000660	NA	salmon4
Zm00001eb000680	NA	red
Zm00001eb000690	NA	honeydew1
Zm00001eb000700	NA	steelblue
Zm00001eb000710	NA	darkturquoise
Zm00001eb000720	NA	darkorange
Zm00001eb000740	NA	green
Zm00001eb000750	NA	darkgrey
Zm00001eb000760	NA	green
Zm00001eb000770	NA	yellowgreen
Zm00001eb000780	NA	darkturquoise
Zm00001eb000790	NA	red
Zm00001eb000800	NA	darkturquoise
Zm00001eb000810	NA	salmon
Zm00001eb000820	NA	sienna3
Zm00001eb000830	NA	turquoise
Zm00001eb000840	NA	darkorange
Zm00001eb000850	NA	darkmagenta
Zm00001eb000860	NA	darkred
Zm00001eb000870	NA	brown
Zm00001eb000890	NA	blue
Zm00001eb000900	NA	mediumpurple3
Zm00001eb000910	NA	lightyellow
Zm00001eb000920	NA	cyan
Zm00001eb000930	NA	darkgrey
Zm00001eb000940	NA	darkgrey
Zm00001eb000960	NA	blue
Zm00001eb000980	NA	ivory
Zm00001eb000990	NA	midnightblue
Zm00001eb001000	NA	cyan
Zm00001eb001010	NA	darkorange
Zm00001eb001020	NA	darkgrey
Zm00001eb001030	NA	turquoise
Zm00001eb001040	NA	lightcyan
Zm00001eb001050	NA	green
Zm00001eb001060	NA	white
Zm00001eb001070	NA	darkgreen
Zm00001eb001090	NA	salmon
Zm00001eb001100	NA	white
Zm00001eb001110	NA	orange
Zm00001eb001120	NA	green
Zm00001eb001130	NA	turquoise
Zm00001eb001140	NA	greenyellow
Zm00001eb001150	NA	thistle1
Zm00001eb001160	NA	thistle1
Zm00001eb001170	NA	green
Zm00001eb001180	NA	darkgrey
Zm00001eb001190	NA	tan
Zm00001eb001200	NA	darkgrey
Zm00001eb001210	NA	skyblue3
Zm00001eb001220	NA	navajowhite2
Zm00001eb001230	NA	pink
Zm00001eb001240	NA	darkgreen
Zm00001eb001260	NA	tan
Zm00001eb001270	NA	turquoise
Zm00001eb001280	NA	blue
Zm00001eb001290	NA	brown
Zm00001eb001300	NA	plum
Zm00001eb001310	NA	turquoise
Zm00001eb001320	NA	turquoise
Zm00001eb001330	NA	turquoise
Zm00001eb001340	NA	darkgreen
Zm00001eb001350	NA	magenta
Zm00001eb001360	NA	red
Zm00001eb001370	NA	turquoise
Zm00001eb001400	NA	midnightblue
Zm00001eb001410	NA	mediumpurple2
Zm00001eb001420	NA	purple
Zm00001eb001430	NA	saddlebrown
Zm00001eb001440	NA	turquoise
Zm00001eb001460	NA	blue
Zm00001eb001470	NA	mediumpurple3
Zm00001eb001490	NA	yellow
Zm00001eb001500	NA	pink
Zm00001eb001510	NA	pink
Zm00001eb001520	NA	pink
Zm00001eb001530	NA	salmon
Zm00001eb001550	NA	lightpink4
Zm00001eb001570	NA	cyan
Zm00001eb001590	NA	black
Zm00001eb001600	NA	greenyellow
Zm00001eb001610	NA	purple
Zm00001eb001620	NA	purple
Zm00001eb001630	NA	darkorange
Zm00001eb001640	NA	greenyellow
Zm00001eb001650	NA	darkgrey
Zm00001eb001670	NA	turquoise
Zm00001eb001680	NA	red
Zm00001eb001690	NA	lightgreen
Zm00001eb001700	NA	ivory
Zm00001eb001710	NA	lightgreen
Zm00001eb001720	NA	yellowgreen
Zm00001eb001740	NA	red
Zm00001eb001760	NA	maroon
Zm00001eb001770	NA	green
Zm00001eb001780	NA	violet
Zm00001eb001790	NA	pink
Zm00001eb001810	NA	salmon
Zm00001eb001820	NA	red
Zm00001eb001830	NA	greenyellow
Zm00001eb001840	NA	greenyellow
Zm00001eb001860	NA	orange
Zm00001eb001870	NA	red
Zm00001eb001880	NA	darkorange
Zm00001eb001890	NA	red
Zm00001eb001900	NA	turquoise
Zm00001eb001910	NA	orange
Zm00001eb001920	NA	red
Zm00001eb001940	NA	yellow
Zm00001eb001950	NA	darkgrey
Zm00001eb001960	NA	red
Zm00001eb001970	NA	red
Zm00001eb001980	NA	green
Zm00001eb001990	NA	tan
Zm00001eb002000	NA	magenta
Zm00001eb002010	NA	plum2
Zm00001eb002020	NA	orange
Zm00001eb002030	NA	midnightblue
Zm00001eb002040	NA	darkred
Zm00001eb002050	NA	midnightblue
Zm00001eb002060	NA	steelblue
Zm00001eb002070	NA	red
Zm00001eb002080	NA	red
Zm00001eb002090	NA	lightsteelblue1
Zm00001eb002100	NA	floralwhite
Zm00001eb002140	NA	salmon4
Zm00001eb002150	NA	purple
Zm00001eb002170	NA	blue
Zm00001eb002180	NA	lightsteelblue1
Zm00001eb002190	NA	green
Zm00001eb002200	NA	skyblue
Zm00001eb002210	NA	lightsteelblue
Zm00001eb002220	NA	darkred
Zm00001eb002240	NA	white
Zm00001eb002250	NA	green
Zm00001eb002260	NA	brown
Zm00001eb002270	NA	green
Zm00001eb002280	NA	green
Zm00001eb002290	NA	turquoise
Zm00001eb002300	NA	purple
Zm00001eb002310	NA	honeydew1
Zm00001eb002320	NA	green
Zm00001eb002330	NA	thistle2
Zm00001eb002350	NA	paleturquoise
Zm00001eb002360	NA	turquoise
Zm00001eb002370	NA	lightpink3
Zm00001eb002380	NA	darkolivegreen4
Zm00001eb002390	NA	antiquewhite4
Zm00001eb002410	NA	skyblue2
Zm00001eb002420	NA	lightgreen
Zm00001eb002430	NA	darkred
Zm00001eb002440	NA	white
Zm00001eb002460	NA	brown
Zm00001eb002470	NA	pink
Zm00001eb002480	NA	yellow
Zm00001eb002490	NA	yellow
Zm00001eb002510	NA	yellow
Zm00001eb002520	NA	darkgreen
Zm00001eb002530	NA	red
Zm00001eb002540	NA	darkturquoise
Zm00001eb002550	NA	cyan
Zm00001eb002560	NA	darkgrey
Zm00001eb002570	NA	grey60
Zm00001eb002590	NA	yellowgreen
Zm00001eb002600	NA	skyblue
Zm00001eb002610	NA	salmon
Zm00001eb002620	NA	lightpink4
Zm00001eb002640	NA	steelblue
Zm00001eb002650	NA	purple
Zm00001eb002660	NA	skyblue
Zm00001eb002680	NA	turquoise
Zm00001eb002690	NA	skyblue
Zm00001eb002700	NA	turquoise
Zm00001eb002710	NA	turquoise
Zm00001eb002730	NA	darkgrey
Zm00001eb002720	NA	darkgrey
Zm00001eb002740	NA	darkorange2
Zm00001eb002760	NA	yellow
Zm00001eb002770	NA	pink
Zm00001eb002780	NA	blue
Zm00001eb002790	NA	blue
